event_id	lsn-16
event_date	Thursday the 14th of May
event_time	18:00
institution	Imperial
room_name	Sherfield Building, Room 324
room_link	https://docs.google.com/document/d/1QpIexDMEvi3rACWIibE69n72WKqAJ2fcFFHK--vjrRE/edit?usp=sharing
address	Sherfield Building, Imperial College Union, Prince Consort Rd, South Kensington, London SW7 2BB
registration_link	
speaker_1_name	Thijs de Vroet
speaker_1_lab	Billerbeck Lab
speaker_1_lab_link	https://www.billerbecklab.com/
speaker_1_org	Imperial College London
speaker_1_talk_title	Design, cloning, and competitive growth screening of CRISPRi and protein variant libraries to study yeast killer toxins.
speaker_1_emoji	🧫
speaker_2_name	Amir Guppy
speaker_2_lab	Isalan Lab
speaker_2_lab_link	https://profiles.imperial.ac.uk/m.isalan
speaker_2_org	Imperial College london
speaker_2_talk_title	Evolving biological nitrogen fixation with microbial co-cultures
speaker_2_emoji	🌱
